filename,source,theme_reference,category,width,height,size_mb,url
nutritional_info_v2.png,files-only,unused,Info graphic,,,3.14,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/nutritional_info_v2.png
01.png,files-only,used,Lifestyle / editorial,,,0.36,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/01.png
02.png,files-only,used,Lifestyle / editorial,,,0.35,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/02.png
04.png,files-only,used,Lifestyle / editorial,,,0.32,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/04.png
05.png,files-only,used,Lifestyle / editorial,,,0.34,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/05.png
06.png,files-only,used,Lifestyle / editorial,,,0.33,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/06.png
2148994372.jpg,files-only,unused,Lifestyle / editorial,,,1.95,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/2148994372.jpg
BLUEHUWAII.jpg,files-only,unused,Lifestyle / editorial,,,1.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/BLUEHUWAII.jpg
BLUE_HUWAII.jpg,files-only,unused,Lifestyle / editorial,,,1.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/BLUE_HUWAII.jpg
BLUE_HUWAII_33fa5c0f-a325-47a5-9fd7-85b443aca7a4.jpg,files-only,unused,Lifestyle / editorial,,,1.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/BLUE_HUWAII_33fa5c0f-a325-47a5-9fd7-85b443aca7a4.jpg
BUBBLE_GUM.jpg,files-only,unused,Lifestyle / editorial,,,1.72,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/BUBBLE_GUM.jpg
Classic_Matcha_boba.jpg,files-only,unused,Lifestyle / editorial,,,0.67,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_Matcha_boba.jpg
Classic_matcha.jpg,files-only,unused,Lifestyle / editorial,,,1.69,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_matcha.jpg
Classic_matcha_8db06d1e-aeb7-44fb-b94e-658a4b06e6c0.jpg,files-only,unused,Lifestyle / editorial,,,1.69,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_matcha_8db06d1e-aeb7-44fb-b94e-658a4b06e6c0.jpg
NUTTY_TARO.jpg,files-only,unused,Lifestyle / editorial,,,2.6,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/NUTTY_TARO.jpg
Spiced_CHai_Latte.jpg,files-only,unused,Lifestyle / editorial,,,2.63,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Spiced_CHai_Latte.jpg
Thai.jpg,files-only,unused,Lifestyle / editorial,,,1.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai.jpg
Thai_fe270067-d6cd-427f-9f79-508e5a596553.jpg,files-only,unused,Lifestyle / editorial,,,1.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_fe270067-d6cd-427f-9f79-508e5a596553.jpg
about_BTS.jpg,files-only,used,Lifestyle / editorial,,,1.76,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/about_BTS.jpg
colourful_bubble_teas.jpg,files-only,unused,Lifestyle / editorial,,,1.34,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/colourful_bubble_teas.jpg
green-smoothie-break.jpg,files-only,used,Lifestyle / editorial,,,7.25,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/green-smoothie-break.jpg
picking-strawberries.jpg,files-only,unused,Lifestyle / editorial,,,14.48,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/picking-strawberries.jpg
taro_drink.jpg,files-only,unused,Lifestyle / editorial,,,0.65,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/taro_drink.jpg
tasty-bubble-tea-drinks-assortment-lowRes.jpg,files-only,unused,Lifestyle / editorial,,,0.78,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/tasty-bubble-tea-drinks-assortment-lowRes.jpg
Thai_Making_Step_1.jpg,files-only,unused,Lifestyle / how-to step,,,5.51,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_1.jpg
Thai_Making_Step_Enjoy.jpg,files-only,unused,Lifestyle / how-to step,,,3.58,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Enjoy.jpg
Thai_Making_Step_Enjoy_028ae8bf-989c-4a94-b980-60a658692b74.jpg,files-only,unused,Lifestyle / how-to step,,,3.58,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Enjoy_028ae8bf-989c-4a94-b980-60a658692b74.jpg
Thai_Making_Step_Mix.jpg,files-only,used,Lifestyle / how-to step,,,0.65,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Mix.jpg
Thai_Making_Step_Mix_1ca7beb8-70a9-4734-bfc2-95fd3e929890.jpg,files-only,unused,Lifestyle / how-to step,,,2.74,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Mix_1ca7beb8-70a9-4734-bfc2-95fd3e929890.jpg
Thai_Making_Step_Shake.jpg,files-only,unused,Lifestyle / how-to step,,,3.85,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Shake.jpg
Thai_Making_Step_Shake_7106f750-db74-4350-86f1-cd3d1b202680.jpg,files-only,used,Lifestyle / how-to step,,,3.85,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_Making_Step_Shake_7106f750-db74-4350-86f1-cd3d1b202680.jpg
All_6.jpg,files-only,used,Marketing / range shot,,,1.12,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/All_6.jpg
All_6_For_Google.jpg,files-only,unused,Marketing / range shot,,,0.47,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/All_6_For_Google.jpg
All_6_For_Google_bd3926bc-e1ce-441a-84c6-ecb82f910696.jpg,files-only,used,Marketing / range shot,,,0.5,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/All_6_For_Google_bd3926bc-e1ce-441a-84c6-ecb82f910696.jpg
Taro_All_copy.png,files-only,unused,Marketing / range shot,,,7.53,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Taro_All_copy.png
Taro_All_copy_7a801486-f044-4df9-843f-536e9496de4b.png,files-only,used,Marketing / range shot,,,5.18,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Taro_All_copy_7a801486-f044-4df9-843f-536e9496de4b.png
Taro_All_copy_ab1c4b9a-3a0b-4ed3-972e-160686d1355f.png,files-only,unused,Marketing / range shot,,,7.53,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Taro_All_copy_ab1c4b9a-3a0b-4ed3-972e-160686d1355f.png
Blue_Huwaii_PREMIX.jpg,files-only,unused,Product / ingredient pack shot,,,3.89,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Blue_Huwaii_PREMIX.jpg
Brown_Sugar.jpg,files-only,unused,Product / ingredient pack shot,,,4.37,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Brown_Sugar.jpg
Brown_Sugar_1ab75bb6-8c9b-4088-ae41-130b888f4a47.jpg,files-only,unused,Product / ingredient pack shot,,,4.37,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Brown_Sugar_1ab75bb6-8c9b-4088-ae41-130b888f4a47.jpg
Brown_Sugar_283b156a-9e1f-4a6a-a9fd-218e0ae89b62.jpg,files-only,unused,Product / ingredient pack shot,,,4.37,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Brown_Sugar_283b156a-9e1f-4a6a-a9fd-218e0ae89b62.jpg
Brown_Sugar_2c430ed6-1940-4692-9003-11b9d327f4f7.jpg,files-only,unused,Product / ingredient pack shot,,,4.37,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Brown_Sugar_2c430ed6-1940-4692-9003-11b9d327f4f7.jpg
Brown_Sugar_71426df7-d0f6-4de7-bd5c-759b408ef306.jpg,files-only,unused,Product / ingredient pack shot,,,4.37,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Brown_Sugar_71426df7-d0f6-4de7-bd5c-759b408ef306.jpg
Classic_MatchaPREMIX.jpg,files-only,unused,Product / ingredient pack shot,,,4.21,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_MatchaPREMIX.jpg
Classic_MatchaPREMIX_ca48bc6e-8e8a-4aa2-b52a-8e9d2f93ae53.jpg,files-only,unused,Product / ingredient pack shot,,,4.21,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_MatchaPREMIX_ca48bc6e-8e8a-4aa2-b52a-8e9d2f93ae53.jpg
Instant_Tapioca.jpg,files-only,unused,Product / ingredient pack shot,,,4.79,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Instant_Tapioca.jpg
Instant_Tapioca_6ff2bdbf-8d3e-42cf-a354-b83307c4011b.jpg,files-only,unused,Product / ingredient pack shot,,,4.79,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Instant_Tapioca_6ff2bdbf-8d3e-42cf-a354-b83307c4011b.jpg
Instant_Tapioca_9fe97f49-22fa-4e8a-abb7-f3b282ab6d6b.jpg,files-only,unused,Product / ingredient pack shot,,,4.79,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Instant_Tapioca_9fe97f49-22fa-4e8a-abb7-f3b282ab6d6b.jpg
Instant_Tapioca_a76b53e3-539d-4a3d-865f-cde5865f6587.jpg,files-only,unused,Product / ingredient pack shot,,,4.79,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Instant_Tapioca_a76b53e3-539d-4a3d-865f-cde5865f6587.jpg
